time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-04T15:41:11.590Z,44.4979,-115.2661,10,3.8,ml,,64,1.119,1.07,us,us70008np6,2020-04-04T23:38:34.595Z,"61km E of Cascade, Idaho",earthquake,3.8,2,0.036,102,reviewed,us,us
2020-04-04T15:26:35.240Z,17.9618,-66.8446,9,2.48,md,14,189,0.0371,0.14,pr,pr2020095030,2020-04-04T17:20:09.522Z,"4km SW of Indios, Puerto Rico",earthquake,0.47,0.57,0.2,8,reviewed,pr,pr
2020-04-04T15:03:49.500Z,17.8073,-66.857,8,2.68,md,10,268,0.1693,0.14,pr,pr2020095027,2020-04-04T15:52:56.359Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.8,1.95,0.16,9,reviewed,pr,pr
2020-04-04T14:46:44.070Z,17.9471,-66.9458,5,2.69,md,14,201,0.0722,0.12,pr,pr2020095026,2020-04-04T15:31:12.430Z,"4km SW of Guanica, Puerto Rico",earthquake,0.51,0.38,0.53,11,reviewed,pr,pr
2020-04-04T14:15:45.060Z,44.4512,-115.2102,10,2.7,ml,,61,0.849,0.88,us,us70008nmv,2020-04-04T17:21:56.040Z,"66km E of Cascade, Idaho",earthquake,2.2,2,0.055,44,reviewed,us,us
2020-04-04T13:32:54.234Z,44.3396,-115.1713,10,2.5,ml,,63,0.95,0.96,us,us70008nmh,2020-04-04T17:16:50.040Z,"72km ESE of Cascade, Idaho",earthquake,3,2,0.059,38,reviewed,us,us
2020-04-04T12:14:43.090Z,17.9843,-66.7843,12,2.45,md,16,172,0.0953,0.13,pr,pr2020095022,2020-04-04T12:56:05.377Z,"3km SSE of Guayanilla, Puerto Rico",earthquake,0.42,0.33,0.19,10,reviewed,pr,pr
2020-04-04T12:11:21.479Z,-7.3439,156.1651,59.75,5,mb,,73,4.282,0.62,us,us70008nlk,2020-04-04T12:31:12.040Z,"88km SSW of Chirovanga, Solomon Islands",earthquake,8.7,7.3,0.06,88,reviewed,us,us
2020-04-04T11:49:18.000Z,33.4981667,-116.5191667,9.46,2.79,ml,86,28,0.06,0.19,ci,ci39129687,2020-04-04T23:45:44.986Z,"16km ESE of Anza, CA",earthquake,0.17,0.46,0.162,25,automatic,ci,ci
2020-04-04T11:13:54.510Z,17.8675,-66.8728,11,2.82,md,18,242,0.1078,0.13,pr,pr2020095019,2020-04-04T11:39:18.214Z,"12km SSE of Guanica, Puerto Rico",earthquake,0.53,0.69,0.33,16,reviewed,pr,pr
